customer_ID,timestamp,transaction_type,transaction_amount,product_used,customer_tenure,transaction_frequency
1,2022-02-20 00:30:06.619241,deposit,40.11,personal_loan,7,24
1,2024-03-26 00:30:06.619241,transfer,207.08,low_interest_loan,7,24
1,2024-10-12 00:30:06.620349,withdrawal,103.99,platinum_credit_card,7,24
1,2018-06-23 00:30:06.622236,payment,92.02,credit_card,7,24
1,2021-11-23 00:30:06.623235,payment,101.11,retirement_account,7,24
1,2019-07-14 00:30:06.623235,payment,78.61,savings_account,7,24
1,2019-12-09 00:30:06.623235,transfer,98.78,credit_card,7,24
1,2023-05-15 00:30:06.624238,deposit,117.78,investment_account,7,24
1,2019-01-28 00:30:06.625399,withdrawal,69.99,credit_card,7,24
1,2021-05-28 00:30:06.625399,payment,147.37,personal_loan,7,24
1,2023-01-06 00:30:06.625399,transfer,80.68,premium_checking_account,7,24
1,2022-05-05 00:30:06.626235,withdrawal,42.06,platinum_credit_card,7,24
1,2022-01-17 00:30:06.626235,payment,110.93,low_interest_loan,7,24
1,2021-08-24 00:30:06.626235,deposit,144.09,low_interest_loan,7,24
1,2024-03-19 00:30:06.626235,transfer,76.97,investment_account,7,24
1,2021-11-27 00:30:06.626235,transfer,152.86,basic_checking_account,7,24
1,2021-05-24 00:30:06.627235,deposit,129.11,savings_account,7,24
1,2023-12-29 00:30:06.627879,deposit,144.39,credit_card,7,24
1,2018-11-25 00:30:06.627879,withdrawal,24.59,personal_loan,7,24
1,2018-06-02 00:30:06.628232,withdrawal,154.98,low_interest_loan,7,24
1,2022-12-08 00:30:06.628232,transfer,21.29,savings_account,7,24
1,2022-07-05 00:30:06.628232,transfer,131.9,credit_card,7,24
1,2021-01-26 00:30:06.628232,transfer,118.07,personal_loan,7,24
1,2024-01-24 00:30:06.628232,transfer,176.9,retirement_account,7,24
1,2021-01-27 00:30:06.628232,transfer,104.35,high_yield_savings_account,7,24
1,2022-05-06 00:30:06.629235,payment,85.05,high_yield_savings_account,7,24
1,2020-04-29 00:30:06.629235,deposit,73.28,high_yield_savings_account,7,24
1,2021-11-24 00:30:06.629235,transfer,25.25,savings_account,7,24
1,2020-02-27 00:30:06.629235,withdrawal,26.65,credit_card,7,24
1,2022-12-17 00:30:06.630234,payment,144.63,high_yield_savings_account,7,24
1,2019-09-18 00:30:06.630234,transfer,61.3,investment_account,7,24
1,2019-01-05 00:30:06.630234,deposit,82.01,basic_checking_account,7,24
1,2021-04-21 00:30:06.630234,transfer,163.69,investment_account,7,24
1,2021-08-17 00:30:06.630234,transfer,85.4,platinum_credit_card,7,24
1,2021-02-01 00:30:06.630234,transfer,29.23,savings_account,7,24
1,2021-09-11 00:30:06.631233,payment,78.97,low_interest_loan,7,24
1,2019-09-01 00:30:06.631233,transfer,110.75,investment_account,7,24
1,2022-01-10 00:30:06.631233,withdrawal,1.12,basic_checking_account,7,24
1,2018-04-28 00:30:06.631233,payment,140.89,savings_account,7,24
1,2020-08-28 00:30:06.631233,deposit,47.27,low_interest_loan,7,24
1,2023-03-24 00:30:06.632415,deposit,96.78,personal_loan,7,24
1,2020-04-27 00:30:06.632469,deposit,117.25,basic_checking_account,7,24
1,2020-08-03 00:30:06.632469,withdrawal,24.94,platinum_credit_card,7,24
1,2021-03-13 00:30:06.632469,transfer,174.02,high_yield_savings_account,7,24
1,2024-08-01 00:30:06.632469,payment,139.55,low_interest_loan,7,24
1,2024-08-06 00:30:06.633232,withdrawal,54.53,basic_checking_account,7,24
1,2021-12-30 00:30:06.633232,transfer,185.33,savings_account,7,24
1,2021-05-22 00:30:06.633232,transfer,143.68,savings_account,7,24
1,2020-05-22 00:30:06.633232,payment,92.83,personal_loan,7,24
1,2018-08-10 00:30:06.633232,payment,130.85,basic_checking_account,7,24
2,2020-08-30 00:30:06.634235,transfer,152.19,investment_account,9,14
2,2022-09-23 00:30:06.634235,withdrawal,126.32,basic_checking_account,9,14
2,2021-07-03 00:30:06.634640,withdrawal,28.0,savings_account,9,14
2,2020-07-13 00:30:06.634844,payment,159.54,savings_account,9,14
2,2024-01-13 00:30:06.635039,payment,146.03,high_yield_savings_account,9,14
2,2023-07-14 00:30:06.635231,deposit,88.66,low_interest_loan,9,14
2,2021-03-09 00:30:06.635231,withdrawal,142.7,investment_account,9,14
2,2024-11-13 00:30:06.635231,deposit,189.43,premium_checking_account,9,14
2,2019-11-19 00:30:06.635231,withdrawal,193.29,investment_account,9,14
2,2024-09-12 00:30:06.635231,payment,123.69,basic_checking_account,9,14
2,2024-01-19 00:30:06.635231,deposit,76.87,low_interest_loan,9,14
2,2021-12-19 00:30:06.636232,transfer,44.38,basic_checking_account,9,14
2,2023-05-22 00:30:06.636232,deposit,131.71,platinum_credit_card,9,14
2,2022-04-11 00:30:06.636232,withdrawal,253.05,platinum_credit_card,9,14
2,2018-11-26 00:30:06.636232,deposit,145.53,premium_checking_account,9,14
2,2022-12-15 00:30:06.636232,deposit,98.51,basic_checking_account,9,14
2,2023-11-25 00:30:06.636232,payment,51.85,savings_account,9,14
2,2021-10-23 00:30:06.637174,deposit,148.86,basic_checking_account,9,14
2,2016-04-04 00:30:06.637174,payment,10.84,platinum_credit_card,9,14
2,2019-04-06 00:30:06.637174,payment,87.84,investment_account,9,14
2,2022-03-27 00:30:06.637174,payment,130.31,savings_account,9,14
2,2023-03-23 00:30:06.637174,deposit,2.79,high_yield_savings_account,9,14
2,2024-08-13 00:30:06.637174,deposit,152.28,savings_account,9,14
2,2024-10-15 00:30:06.638186,withdrawal,82.89,investment_account,9,14
2,2020-04-28 00:30:06.638186,withdrawal,131.5,low_interest_loan,9,14
2,2023-06-05 00:30:06.638186,payment,188.15,platinum_credit_card,9,14
2,2020-07-09 00:30:06.638186,withdrawal,57.24,retirement_account,9,14
2,2022-12-28 00:30:06.638186,payment,48.65,basic_checking_account,9,14
2,2024-06-19 00:30:06.638186,payment,9.91,retirement_account,9,14
2,2019-12-18 00:30:06.639186,withdrawal,123.39,investment_account,9,14
2,2018-06-01 00:30:06.639186,deposit,40.84,low_interest_loan,9,14
2,2018-02-17 00:30:06.639186,withdrawal,124.75,savings_account,9,14
2,2018-03-30 00:30:06.639186,transfer,61.36,personal_loan,9,14
2,2019-09-17 00:30:06.639186,withdrawal,88.16,savings_account,9,14
2,2023-07-26 00:30:06.640045,withdrawal,134.31,platinum_credit_card,9,14
2,2018-09-12 00:30:06.640184,payment,19.36,retirement_account,9,14
2,2022-11-05 00:30:06.640184,transfer,55.34,basic_checking_account,9,14
2,2018-10-23 00:30:06.640184,deposit,83.26,credit_card,9,14
2,2022-01-20 00:30:06.640184,payment,80.43,savings_account,9,14
2,2017-04-12 00:30:06.640184,payment,121.9,high_yield_savings_account,9,14
2,2017-09-26 00:30:06.640184,deposit,94.64,savings_account,9,14
2,2022-03-06 00:30:06.641214,transfer,75.69,retirement_account,9,14
2,2023-02-10 00:30:06.641214,withdrawal,61.41,retirement_account,9,14
2,2023-05-28 00:30:06.641214,deposit,183.07,premium_checking_account,9,14
2,2022-01-27 00:30:06.641214,withdrawal,109.19,personal_loan,9,14
2,2023-03-19 00:30:06.641214,transfer,128.89,credit_card,9,14
2,2017-05-15 00:30:06.641214,deposit,24.03,savings_account,9,14
2,2022-05-30 00:30:06.642186,withdrawal,75.79,investment_account,9,14
2,2021-09-25 00:30:06.642280,deposit,85.97,high_yield_savings_account,9,14
2,2023-11-25 00:30:06.642280,payment,69.8,retirement_account,9,14
3,2020-04-29 00:30:06.643188,deposit,181.62,credit_card,5,20
3,2022-01-23 00:30:06.643188,withdrawal,28.49,high_yield_savings_account,5,20
3,2021-09-22 00:30:06.643188,withdrawal,102.93,basic_checking_account,5,20
3,2022-05-11 00:30:06.643188,deposit,217.4,high_yield_savings_account,5,20
3,2022-04-17 00:30:06.643188,payment,117.2,high_yield_savings_account,5,20
3,2020-07-08 00:30:06.643188,payment,146.31,premium_checking_account,5,20
3,2020-06-27 00:30:06.643188,payment,111.35,credit_card,5,20
3,2021-08-08 00:30:06.643188,transfer,86.45,basic_checking_account,5,20
3,2021-03-12 00:30:06.643188,payment,75.68,low_interest_loan,5,20
3,2023-06-26 00:30:06.643188,withdrawal,110.38,retirement_account,5,20
3,2020-09-08 00:30:06.644189,withdrawal,70.53,high_yield_savings_account,5,20
3,2022-11-17 00:30:06.644189,deposit,142.48,premium_checking_account,5,20
3,2020-12-26 00:30:06.644189,transfer,118.1,credit_card,5,20
3,2022-05-06 00:30:06.644189,deposit,129.07,high_yield_savings_account,5,20
3,2021-04-04 00:30:06.644189,deposit,137.36,basic_checking_account,5,20
3,2022-01-24 00:30:06.644189,payment,130.52,high_yield_savings_account,5,20
3,2022-06-18 00:30:06.644189,deposit,66.54,credit_card,5,20
3,2020-03-14 00:30:06.644189,deposit,158.1,personal_loan,5,20
3,2020-11-24 00:30:06.644189,transfer,79.6,basic_checking_account,5,20
3,2024-12-20 00:30:06.644189,payment,113.08,investment_account,5,20
3,2021-05-26 00:30:06.644189,deposit,88.04,investment_account,5,20
3,2024-12-06 00:30:06.644189,deposit,142.7,personal_loan,5,20
3,2020-02-27 00:30:06.645309,withdrawal,89.99,retirement_account,5,20
3,2021-05-01 00:30:06.645309,payment,201.24,credit_card,5,20
3,2022-02-23 00:30:06.645309,transfer,156.18,credit_card,5,20
3,2021-01-04 00:30:06.645309,deposit,207.16,personal_loan,5,20
3,2021-12-10 00:30:06.645309,deposit,190.68,investment_account,5,20
3,2022-02-18 00:30:06.645309,withdrawal,120.23,basic_checking_account,5,20
3,2021-08-23 00:30:06.645309,withdrawal,112.25,retirement_account,5,20
3,2021-04-05 00:30:06.645309,withdrawal,74.65,retirement_account,5,20
3,2021-10-21 00:30:06.646184,deposit,20.92,low_interest_loan,5,20
3,2020-12-23 00:30:06.646184,deposit,103.95,basic_checking_account,5,20
3,2021-05-26 00:30:06.646184,payment,114.49,high_yield_savings_account,5,20
3,2022-02-22 00:30:06.646184,payment,90.64,savings_account,5,20
3,2023-12-03 00:30:06.646184,payment,1.85,retirement_account,5,20
3,2020-11-18 00:30:06.646184,transfer,178.5,savings_account,5,20
3,2024-08-31 00:30:06.646184,deposit,172.19,high_yield_savings_account,5,20
3,2023-11-02 00:30:06.646184,payment,4.25,investment_account,5,20
3,2022-05-02 00:30:06.646184,transfer,124.63,basic_checking_account,5,20
3,2021-03-20 00:30:06.646184,payment,104.44,basic_checking_account,5,20
3,2022-08-01 00:30:06.646184,deposit,103.48,credit_card,5,20
3,2020-06-26 00:30:06.646184,transfer,149.18,savings_account,5,20
3,2020-11-17 00:30:06.646184,deposit,213.79,basic_checking_account,5,20
3,2021-04-25 00:30:06.646184,withdrawal,120.31,platinum_credit_card,5,20
3,2021-08-17 00:30:06.647185,payment,118.35,retirement_account,5,20
3,2023-02-15 00:30:06.647185,payment,110.47,low_interest_loan,5,20
3,2024-02-28 00:30:06.647185,payment,84.59,retirement_account,5,20
3,2021-05-20 00:30:06.647185,payment,63.13,retirement_account,5,20
3,2020-07-24 00:30:06.647185,withdrawal,62.15,credit_card,5,20
3,2025-01-10 00:30:06.647543,payment,56.25,platinum_credit_card,5,20
4,2024-07-15 00:30:06.647543,payment,137.1,premium_checking_account,1,17
4,2025-02-10 00:30:06.647543,payment,173.83,premium_checking_account,1,17
4,2024-06-14 00:30:06.647543,deposit,84.51,platinum_credit_card,1,17
4,2024-12-17 00:30:06.647543,withdrawal,41.51,basic_checking_account,1,17
4,2024-05-29 00:30:06.647543,deposit,69.21,basic_checking_account,1,17
4,2024-11-14 00:30:06.647543,deposit,171.81,savings_account,1,17
4,2024-04-15 00:30:06.648191,withdrawal,117.12,credit_card,1,17
4,2024-02-28 00:30:06.648359,transfer,195.58,credit_card,1,17
4,2025-01-28 00:30:06.648386,deposit,146.21,savings_account,1,17
4,2024-09-28 00:30:06.648386,deposit,140.64,investment_account,1,17
4,2025-02-19 00:30:06.648386,transfer,56.39,basic_checking_account,1,17
4,2024-05-08 00:30:06.648386,withdrawal,66.45,low_interest_loan,1,17
4,2025-01-12 00:30:06.648386,withdrawal,73.91,savings_account,1,17
4,2024-04-20 00:30:06.648386,payment,86.59,basic_checking_account,1,17
4,2024-12-28 00:30:06.648386,payment,151.33,investment_account,1,17
4,2024-10-31 00:30:06.648386,transfer,108.3,personal_loan,1,17
4,2024-07-28 00:30:06.648386,deposit,174.45,savings_account,1,17
4,2024-11-09 00:30:06.648386,withdrawal,143.89,premium_checking_account,1,17
4,2024-05-02 00:30:06.649188,withdrawal,13.46,savings_account,1,17
4,2024-04-18 00:30:06.649188,deposit,172.22,platinum_credit_card,1,17
4,2024-03-22 00:30:06.649188,payment,111.0,basic_checking_account,1,17
